Bigram,Frequency
Eh niña,1
niña nu,1
nu wa,2
Cambie de,1
de phone,1
Y no,2
no tengo,1
tengo stickers,1
"Nah ,",1
", nomas",1
nomas ya,1
ya quería,1
quería cambiar,1
cambiar de,1
de número,1
Ya hacía,1
hacía falta,1
Muchos números,1
números desconocidos,1
desconocidos me,1
me marcaban,1
Que rico,1
Chicas con,1
con falta,1
falta de,1
de atención,1
Como me,1
me gustan,1
Niña nu,1
Ocupo sus,1
sus mejores,1
mejores stickers,1
stickers de,1
de michis,1
Solo tengo,1
tengo este,1
Más más,1
más más,1
Ese es,1
es buenísimo,1
Gracias niña,1
Por cierto,1
cierto ya,1
ya duérmase,1
Haciendo ?,1
Mamás eso,1
eso va,1
va a,1
a hacer,1
hacer que,1
que se,2
se te,1
te despare,1
Ya veo,1
veo dijo,1
dijo el,1
el ciego,1
Ve y,1
y chinga,1
chinga a,1
a tu,3
tu madre,1
Bueno si,1
Te odio,1
odio pero,1
pero con,1
con cariño,1
Lo que,1
que te,3
te dije,1
dije la,1
la primera,1
primera vez,1
vez que,1
que hablamos,1
hablamos por,1
por whattsap,1
whattsap no,1
no fue,1
fue mentira,1
Todo es,1
es real,1
Eh ?,2
? ?,5
Nigga wtf,1
Porque verde,1
verde =,1
= negro,1
negro ?,1
Que cosas,1
cosas no,1
no ?,3
Mira tengo,1
tengo una,1
una foto,1
foto tuya,1
Hueles feo,1
Y gorda,1
No pues,1
pues cada,1
cada quien,1
Oye zorra,1
Mis amigos,1
amigos dicen,1
dicen que,1
que cuando,1
cuando estoy,1
estoy borracho,1
borracho soy,1
soy este,1
Que porque,1
porque según,1
según entre,1
entre cierro,1
cierro los,1
los ojos,1
Que opinas,1
opinas ?,1
Ehhh no,1
Creo que,1
que no,1
Solo el,1
el único,1
único video,1
video que,1
te pase,1
Se llama,1
llama salem,1
"Nahh ,",1
", nunca",1
nunca he,1
he hecho,1
hecho algo,1
algo así,1
Esa si,1
si eres,1
eres tu,1
Pero oye,1
Porque le,1
le tomas,1
tomas fotos,1
fotos mientes,1
mientes se,1
se la,1
la jala,1
jala ?,1
No lo,1
lo respetas,1
Se que,1
que lo,2
lo se,1
se siente,1
no es,1
es coll,1
Cual de,1
de todos,1
todos los,1
los papás,1
papás ?,1
